Player,Position,Team,Cost (£m),Total Points,Avg PPG,Form,Value,Score
Roefs,Goalkeeper,Sunderland,0.45999999999999996,41.0,5.857142857142857,6.0,89.1304347826087,0.9000487726176987
Petrović,Goalkeeper,Bournemouth,0.45,27.0,3.857142857142857,3.5,60.0,0.5751417949447784
Alderete,Defender,Sunderland,0.41,39.0,5.571428571428571,7.5,95.1219512195122,0.9217055734100107
Truffert,Defender,Bournemouth,0.45,32.0,4.571428571428571,4.8,71.11111111111111,0.6915387885316635
Mukiele,Defender,Sunderland,0.4,27.0,3.857142857142857,5.8,67.5,0.6817145902756837
Rodon,Defender,Leeds,0.4,30.0,3.2857142857142856,3.5,75.0,0.6222990215510399
Diouf,Defender,West Ham,0.44000000000000006,26.0,3.7142857142857144,3.0,59.090909090909086,0.5648416994305762
Anthony,Midfielder,Burnley,0.5700000000000001,41.0,5.857142857142857,5.0,71.9298245614035,0.8426487493354696
Cullen,Midfielder,Burnley,0.5,37.0,5.285714285714286,4.2,74.0,0.7784418347786953
Zubimendi,Midfielder,Arsenal,0.55,32.0,4.571428571428571,5.8,58.18181818181818,0.6941943993621021
Stach,Midfielder,Leeds,0.5,33.0,3.5714285714285716,5.0,66.0,0.6666255396124777
Reijnders,Midfielder,Man City,0.58,31.0,4.428571428571429,4.2,53.44827586206897,0.6382600244391441
Woltemade,Forward,Newcastle,0.72,24.0,6.0,6.0,33.333333333333336,0.672113094959399
Ekitiké,Forward,Liverpool,0.8699999999999999,33.0,4.714285714285714,2.8,37.931034482758626,0.6188075555462615
Thiago,Forward,Brentford,0.6,23.0,4.571428571428571,4.5,38.333333333333336,0.5844465708637228
