Player,Position,Team,Cost (£m),Total Points,Avg PPG,Form
Roefs,Goalkeeper,Sunderland,0.45999999999999996,41.0,5.857142857142857,6.0
Alderete,Defender,Sunderland,0.41,39.0,5.571428571428571,7.5
Truffert,Defender,Bournemouth,0.45,32.0,4.571428571428571,4.8
Mukiele,Defender,Sunderland,0.4,27.0,3.857142857142857,5.8
Rodon,Defender,Leeds,0.4,30.0,3.2857142857142856,3.5
Anthony,Midfielder,Burnley,0.5700000000000001,41.0,5.857142857142857,5.0
Cullen,Midfielder,Burnley,0.5,37.0,5.285714285714286,4.2
Zubimendi,Midfielder,Arsenal,0.55,32.0,4.571428571428571,5.8
Stach,Midfielder,Leeds,0.5,33.0,3.5714285714285716,5.0
Reijnders,Midfielder,Man City,0.58,31.0,4.428571428571429,4.2
Woltemade,Forward,Newcastle,0.72,24.0,6.0,6.0
